departure_airport,arrival_airport,airlines,aircraft_types
A Coruna Airport,Adolfo Suarez Madrid Barajas Airport,Zephyr Express;Sunbird Airlines;Sunshine Air Tours,Embraer 190;Airbus A319;Airbus A321;Airbus A320
A Coruna Airport,Barcelona International Airport,Grand China Air;Sunshine Air Tours,Airbus A320
A Coruna Airport,Bilbao Airport,Grand China Air;Sunshine Air Tours,Airbus A320
A Coruna Airport,Humberto Delgado Airport (Lisbon Portela Airport),Williams Air,Beechcraft 1900
A Coruna Airport,London Heathrow Airport,Grand China Air;Sunshine Air Tours,Airbus A320
A Coruna Airport,Sevilla Airport,Grand China Air;Sunshine Air Tours,Airbus A320
Aalborg Airport,Aarhus Airport,Skydrift,Fairchild Dornier 328JET
Aalborg Airport,Amsterdam Airport Schiphol,Thai Flying Helicopter Service;Sunbird Airlines,Embraer 190;Fokker 70
Aalborg Airport,Barcelona International Airport,Grand China Air;Sunshine Air Tours,Airbus A320
Aalborg Airport,Billund Airport,White;Vuelos Internos Privados VIP;Styrian Airways,Saab SF340A/B;Airbus A319
Aalborg Airport,Copenhagen Kastrup Airport,Vuelos Internos Privados VIP;Silesia Air,Canadair Regional Jet 200;Airbus A320;Canadair Regional Jet 900;Airbus A319;Airbus A321;Aerospatiale/Alenia ATR 72
Aalborg Airport,Istanbul Airport,White,Boeing 737-800;Airbus A319
Aalborg Airport,Oslo Lufthavn,Skydrift;Vuelos Internos Privados VIP,British Aerospace Jetstream 31;Fairchild Dornier 328JET;Boeing 737-700
Aalborg Airport,Stavanger Airport Sola,Styrian Airways,Saab SF340A/B
Aalborg Airport,Stockholm-Arlanda Airport,Vuelos Internos Privados VIP,Saab 2000
Aarhus Airport,Aalborg Airport,Skydrift,Fairchild Dornier 328JET
Aarhus Airport,Copenhagen Kastrup Airport,Vuelos Internos Privados VIP,Canadair Regional Jet 200;Aerospatiale/Alenia ATR 72;Airbus A320
Aarhus Airport,Gothenburg-Landvetter Airport,Skydrift,Fairchild Dornier 328JET
Aarhus Airport,London Stansted Airport,Sky Wings Airlines,Boeing 737-800
Aarhus Airport,Malaga Airport,Sky Wings Airlines,Boeing 737-800
Aarhus Airport,Oslo Lufthavn,Skydrift,Fairchild Dornier 328JET
Aarhus Airport,Palma De Mallorca Airport,Sky Wings Airlines,Boeing 737-800
Aarhus Airport,Stockholm-Bromma Airport,Skydrift,Fairchild Dornier 328JET
Abadan Airport,Mashhad International Airport,SADELCA - Sociedad Aerea Del Caqueta;S C Ion Tiriac,McDonnell Douglas MD-82;Fokker 100
Abadan Airport,Mehrabad International Airport,Southern Cross Aviation;SADELCA - Sociedad Aerea Del Caqueta;S C Ion Tiriac,McDonnell Douglas MD-82;Fokker 100
Abadan Airport,Shiraz Shahid Dastghaib International Airport,Southern Cross Aviation,Fokker 100
Abakan Airport,Domodedovo International Airport,Vertical-T Air Company,Airbus A320
Abakan Airport,Norilsk-Alykel Airport,Taunus Air Gmbh,Boeing 737-800
Abakan Airport,Sheremetyevo International Airport,Walsten Air Services,Airbus A320
Abbotsford Airport,Calgary International Airport,Air Bucharest,Boeing 737-600
Abdul Rachman Saleh Airport,Ngurah Rai (Bali) International Airport,TAB Express International,Aerospatiale/Alenia ATR 42-600
Abdul Rachman Saleh Airport,Soekarno-Hatta International Airport,SANSA;Vointeh,Boeing 737-800;Boeing 737-300
Abeid Amani Karume International Airport,Frankfurt am Main Airport,Slovak Government Flying Service,Boeing 767
Abeid Amani Karume International Airport,Jomo Kenyatta International Airport,TG Aviation;United Kingdom Civil Aviation Authority,Aerospatiale/Alenia ATR 72
Abeid Amani Karume International Airport,Julius Nyerere International Airport,TG Aviation;Medallion Air;United Kingdom Civil Aviation Authority,Boeing 737-800;Aerospatiale/Alenia ATR 42-300;Aerospatiale/Alenia ATR 72
Abeid Amani Karume International Airport,Kilimanjaro International Airport,Eagle Canyon Airlines;Safari Express Cargo,Boeing 767-300
Abeid Amani Karume International Airport,OR Tambo International Airport,Skyplan Services,Boeing 737-800
Abel Santamaria Airport,Halifax / Stanfield International Airport,Sahel Aviation Service,Airbus A320
Abel Santamaria Airport,Jardines Del Rey Airport,Wind Spirit Air,Airbus A310
Abel Santamaria Airport,Lester B. Pearson International Airport,Wind Spirit Air;Southeast Airmotive;Sahel Aviation Service,Airbus A319;Boeing 737;Airbus A320
Abel Santamaria Airport,Montreal / Pierre Elliott Trudeau International Airport,Wind Spirit Air;Southeast Airmotive;Sahel Aviation Service,Airbus A310;Boeing 737-300;Airbus A319;Airbus A320
Aberdeen Dyce Airport,Amsterdam Airport Schiphol,Thai Flying Helicopter Service,Fokker 70;Boeing 737
Aberdeen Dyce Airport,Bergen Airport Flesland,Vuelos Internos Privados VIP;OCEAN AIR CARGO,De Havilland Canada DHC-8-400 Dash 8Q;De Havilland Canada DHC-8-300 Dash 8
Aberdeen Dyce Airport,Birmingham International Airport,Servicio Tecnico Aero De Mexico,Embraer 175;De Havilland Canada DHC-8-400 Dash 8Q
Aberdeen Dyce Airport,Bristol Airport,Servicio Aereo Saltillo,Embraer RJ145
Aberdeen Dyce Airport,Charles de Gaulle International Airport,Sham Wing Airlines;Sunbird Airlines,Embraer 170
Aberdeen Dyce Airport,Copenhagen Kastrup Airport,Vuelos Internos Privados VIP,Canadair Regional Jet 900;Canadair Regional Jet 200
Aberdeen Dyce Airport,Dublin Airport,Surninam International Victory Airline,Aerospatiale/Alenia ATR 72
Aberdeen Dyce Airport,Durham Tees Valley Airport,West African Airlines,Saab 2000;British Aerospace Jetstream 41
Aberdeen Dyce Airport,East Midlands Airport,West African Airlines,British Aerospace Jetstream 41
Aberdeen Dyce Airport,Esbjerg Airport,Servicio Aereo Saltillo,Embraer RJ145
Aberdeen Dyce Airport,Frankfurt am Main Airport,Eagle Canyon Airlines,Boeing 737-500
Aberdeen Dyce Airport,George Best Belfast City Airport,Servicio Tecnico Aero De Mexico,De Havilland Canada DHC-8-400 Dash 8Q
Aberdeen Dyce Airport,Humberside Airport,West African Airlines,Saab 2000;British Aerospace Jetstream 41
Aberdeen Dyce Airport,Kirkwall Airport,Servicio Tecnico Aero De Mexico,Saab SF340A/B;Saab 2000
Aberdeen Dyce Airport,Kristiansund Airport (Kvernberget),Servicio Aereo Saltillo,Embraer RJ145
Aberdeen Dyce Airport,Leeds Bradford Airport,West African Airlines,British Aerospace Jetstream 41
Aberdeen Dyce Airport,London City Airport,Skydrift,Embraer 170;Saab 2000
Aberdeen Dyce Airport,London Gatwick Airport,Woodgate Executive Air Charter,Airbus A319
Aberdeen Dyce Airport,London Heathrow Airport,Wind Rose Aviation;Z-Avia;Sunshine Air Tours;Skydrift;SAM Colombia,Airbus A330-300;Airbus A319;Airbus A321;Airbus A320
Aberdeen Dyce Airport,London Luton Airport,Woodgate Executive Air Charter,Airbus A319;Airbus A320
Aberdeen Dyce Airport,Manchester Airport,Servicio Tecnico Aero De Mexico;Servicio Aereo Saltillo,Embraer 175;Embraer RJ145;De Havilland Canada DHC-8-400 Dash 8Q
Aberdeen Dyce Airport,Newcastle Airport,West African Airlines,Embraer RJ145;Saab 2000;British Aerospace Jetstream 41
Aberdeen Dyce Airport,Norwich International Airport,Servicio Aereo Saltillo;West African Airlines,Embraer RJ145;Saab 2000
Aberdeen Dyce Airport,Oslo Lufthavn,Vuelos Internos Privados VIP,Boeing 737-600
Aberdeen Dyce Airport,Riga International Airport,Skyfreight,Boeing 737-500
Aberdeen Dyce Airport,Stavanger Airport Sola,West African Airlines;Vuelos Internos Privados VIP;OCEAN AIR CARGO,Boeing 737-600;De Havilland Canada DHC-8-400 Dash 8Q;Boeing 737-700;British Aerospace Jetstream 41
Aberdeen Dyce Airport,Stornoway Airport,West African Airlines,British Aerospace Jetstream 41
Aberdeen Dyce Airport,Sumburgh Airport,Servicio Tecnico Aero De Mexico,Saab SF340A/B;Saab 2000
Aberdeen Dyce Airport,Wick Airport,West African Airlines,British Aerospace Jetstream 41
Abha Regional Airport,Aden International Airport,S.P. Aviation,Canadair Regional Jet 700
Abha Regional Airport,Cairo International Airport,Egyptair;Yellow Wings Air Services;Walter I Linkoping,Embraer 170;Airbus A320
Abha Regional Airport,King Abdulaziz International Airport,Walter I Linkoping;Rotana Jet,Airbus A321;Airbus A320
